Customer_ID,Churned
1,0
2,0
3,0
4,1
5,0
6,1
7,1
8,0
9,0
10,0
11,0
12,1
13,1
14,0
15,0
16,1
17,1
18,0
19,0
20,0
21,1
22,0
23,0
24,1
25,1
26,1
27,0
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,1
36,1
37,1
38,0
39,0
40,0
41,1
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,0
50,0
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,1
62,1
63,1
64,0
65,0
66,1
67,0
68,0
69,1
70,0
71,0
72,1
73,1
74,0
75,1
76,1
77,1
78,0
79,0
80,1
81,1
82,1
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,1
91,1
92,0
93,0
94,1
95,0
96,0
97,1
98,0
99,1
100,0
101,0
102,0
103,1
104,0
105,0
106,1
107,0
108,0
109,0
110,1
111,0
112,0
113,0
114,0
115,1
116,1
117,1
118,1
119,1
120,0
121,1
122,0
123,0
124,1
125,0
126,1
127,0
128,1
129,0
130,1
131,1
132,0
133,0
134,0
135,0
136,1
137,1
138,0
139,1
140,1
141,0
142,1
143,1
144,0
145,0
146,0
147,1
148,1
149,1
150,0
151,0
152,0
153,0
154,1
155,1
156,1
157,1
158,0
159,0
160,0
161,1
162,1
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,1
180,0
181,1
182,0
183,0
184,0
185,0
186,1
187,1
188,1
189,1
190,1
191,0
192,0
193,1
194,1
195,0
196,1
197,0
198,0
199,0
200,1
201,1
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,1
214,0
215,0
216,0
217,1
218,1
219,1
220,0
221,0
222,1
223,1
224,0
225,1
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,1
240,0
241,0
242,0
243,1
244,0
245,0
246,0
247,0
248,1
249,1
250,1
251,1
252,0
253,0
254,1
255,0
256,1
257,0
258,0
259,1
260,1
261,1
262,0
263,1
264,0
265,0
266,1
267,1
268,0
269,1
270,0
271,0
272,0
273,1
274,0
275,1
276,0
277,1
278,0
