Customer_ID,Age,Income,Gender,Education,City
1,35,28000.0,Male,High School,Kotte
2,59,21000.0,Male,Bachelor,Piliyandala
3,56,30000.0,Male,PhD,Piliyandala
4,34,47000.0,Female,Master,Thimbirigasyaya
5,31,20000.0,Male,High School,Avissawella
6,48,20000.0,Male,Bachelor,Kotte
7,41,49000.0,Female,Bachelor,Bambalapitiya
8,52,32000.0,Male,Bachelor,Colombo
9,61,17000.0,Female,PhD,Avissawella
10,62,29000.0,Female,PhD,Kesbewa
11,51,17000.0,Male,High School,Union Place
12,20,17000.0,Female,High School,Piliyandala
13,54,25000.0,Female,PhD,Padukka
14,60,8000.0,Male,High School,Avissawella
15,57,9000.0,Female,Master,Kottawa
16,43,17000.0,Female,Master,Wellawatthe
17,40,13000.0,Male,PhD,Kottawa
18,61,26000.0,Male,High School,Havelock
19,56,14000.0,Male,Bachelor,Pamankada
20,32,11000.0,Female,Master,Pamankada
21,66,46000.0,Male,PhD,Kolonnawa
22,21,20000.0,Female,High School,Colpetty
23,46,23000.0,Female,PhD,Colombo
24,39,11000.0,Female,Bachelor,Colpetty
25,42,17000.0,Female,Master,Pamankada
26,30,23000.0,Female,PhD,Union Place
27,35,12000.0,Female,PhD,Dehiwala
28,50,27000.0,Female,PhD,Kottawa
29,33,16000.0,Male,Bachelor,Piliyandala
30,62,19000.0,Male,PhD,Havelock
31,59,16000.0,Female,Bachelor,Wellawatthe
32,61,56000.0,Female,Bachelor,Colombo
33,19,22000.0,Male,Bachelor,Kotte
34,52,13000.0,Female,Master,Dehiwala
35,59,33000.0,Male,Master,Kottawa
36,51,12000.0,Male,PhD,Polgasowita
37,47,24000.0,Male,PhD,Kesbewa
38,30,8000.0,Female,Master,Kolonnawa
39,30,11000.0,Female,High School,Polgasowita
40,35,24000.0,Male,Master,Ratmalana
41,49,32000.0,Male,Bachelor,Kolonnawa
42,49,24000.0,Male,Master,Dehiwala
43,52,21000.0,Male,Bachelor,Malabe
44,56,19000.0,Male,PhD,Avissawella
45,63,11000.0,Female,High School,Ratmalana
46,69,15000.0,Male,PhD,Padukka
47,46,17000.0,Female,Bachelor,Pamankada
48,66,37000.0,Male,Bachelor,Dehiwala
49,46,26000.0,Female,Bachelor,Polgasowita
50,61,9000.0,Female,High School,Kesbewa
51,33,26000.0,Female,Master,Aluthkade
52,61,18000.0,Female,PhD,Havelock
53,64,16000.0,Female,PhD,Moratuwa
54,27,30000.0,Female,Master,Thimbirigasyaya
55,47,37000.0,Male,PhD,Kolonnawa
56,42,35000.0,Female,High School,Moratuwa
57,56,14000.0,Male,PhD,Aluthkade
58,37,19000.0,Female,Bachelor,Bambalapitiya
59,22,26000.0,Female,Master,Piliyandala
