Customer_ID,Age,Income,Gender,Education,Region,Signup_Date,Churned
1,35,28000.0,Male,High School,West,2023-03-16,1
2,59,21000.0,Male,Bachelor,West,2023-01-08,0
3,56,30000.0,Male,PhD,West,2023-02-14,1
4,34,47000.0,Female,Master,North,2023-02-28,1
5,31,20000.0,Male,High School,North,2023-05-12,1
6,48,20000.0,Male,Bachelor,North,2023-04-14,1
7,41,49000.0,Female,Bachelor,West,2023-04-08,0
8,52,32000.0,Male,Bachelor,North,2023-03-20,0
9,61,17000.0,Female,PhD,West,2023-05-04,0
10,62,29000.0,Female,PhD,North,2023-01-04,0
11,51,17000.0,Male,High School,North,2023-03-31,1
12,20,17000.0,Female,High School,South,2023-04-14,0
13,54,25000.0,Female,PhD,East,2023-05-17,1
14,60,8000.0,Male,High School,West,2023-04-29,1
15,57,9000.0,Female,Master,South,2023-05-13,1
16,43,17000.0,Female,Master,North,2023-02-25,1
17,40,13000.0,Male,PhD,West,2023-04-06,0
18,61,26000.0,Male,High School,North,2023-03-16,0
19,56,14000.0,Male,Bachelor,East,2023-05-23,0
20,32,11000.0,Female,Master,South,2023-02-01,0
21,66,46000.0,Male,PhD,East,2023-01-28,0
22,21,20000.0,Female,High School,South,2023-01-22,0
23,46,23000.0,Female,PhD,North,2023-01-17,1
24,39,11000.0,Female,Bachelor,East,2023-02-28,0
25,42,17000.0,Female,Master,East,2023-03-31,0
26,30,23000.0,Female,PhD,North,2023-04-16,1
27,35,12000.0,Female,PhD,East,2023-01-26,0
28,50,27000.0,Female,PhD,West,2023-01-25,0
29,33,16000.0,Male,Bachelor,South,2023-05-18,1
30,62,19000.0,Male,PhD,South,2023-02-14,1
31,59,16000.0,Female,Bachelor,South,2023-03-24,1
32,61,56000.0,Female,Bachelor,West,2023-01-11,0
33,19,22000.0,Male,Bachelor,South,2023-04-14,1
34,52,13000.0,Female,Master,North,2023-03-09,1
35,59,33000.0,Male,Master,East,2023-04-05,0
36,51,12000.0,Male,PhD,West,2023-03-06,1
37,47,24000.0,Male,PhD,South,2023-02-18,1
38,30,8000.0,Female,Master,North,2023-02-21,0
39,30,11000.0,Female,High School,East,2023-04-12,0
40,35,24000.0,Male,Master,East,2023-02-26,1
41,49,32000.0,Male,Bachelor,West,2023-02-16,1
42,49,24000.0,Male,Master,West,2023-01-26,0
43,52,21000.0,Male,Bachelor,West,2023-04-24,1
44,56,19000.0,Male,PhD,North,2023-01-05,0
45,63,11000.0,Female,High School,North,2023-03-25,0
46,69,15000.0,Male,PhD,West,2023-02-21,0
47,46,17000.0,Female,Bachelor,South,2023-04-15,1
48,66,37000.0,Male,Bachelor,East,2023-02-23,1
49,46,26000.0,Female,Bachelor,East,2023-01-15,0
50,61,9000.0,Female,High School,North,2023-03-02,0
51,33,26000.0,Female,Master,East,2023-05-02,0
52,61,18000.0,Female,PhD,South,2023-01-21,1
53,64,16000.0,Female,PhD,East,2023-02-15,1
54,27,30000.0,Female,Master,North,2023-05-14,1
55,47,37000.0,Male,PhD,North,2023-02-07,1
56,42,35000.0,Female,High School,South,2023-03-03,1
57,56,14000.0,Male,PhD,South,2023-03-27,0
58,37,19000.0,Female,Bachelor,East,2023-03-19,0
59,22,26000.0,Female,Master,East,2023-02-15,0
60,18,36000.0,Male,High School,North,2023-05-21,1
61,47,17000.0,Female,Master,South,2023-01-03,1
62,66,20000.0,Male,High School,South,2023-01-06,0
63,20,13000.0,Male,Bachelor,South,2023-04-03,1
64,62,12000.0,Male,Master,East,2023-01-08,0
65,31,33000.0,Male,PhD,South,2023-04-18,0
66,47,43000.0,Female,High School,North,2023-03-16,1
67,67,21000.0,Female,Master,North,2023-03-18,1
68,21,36000.0,Male,PhD,East,2023-02-19,1
69,35,26000.0,Female,Master,West,2023-01-11,0
